甭	ming2
當	tng
鐺	tng
鼟	tng
噔	tng
當	tng3
堂	tng5
唐	tng5
塘	tng5
腸	tng5
丈	tng6
塅	tng7
段	tng7
緞	tng7
傳	tng7
湯	thng
燙	thng3
褪	thng3
糖	thng5
醣	thng5
搪	thng7
女	nng2
釹	nng2
軟	nng2
輭	nng2
蠕	nng2
蝡	nng2
郎	nng5
莨	nng5
瓤	nng5
卵	nng6
缸	kng
扛	kng
掆	kng
卷	kng2
鋼	kng3
糠	khng
粇	kenn3
粳	kenn3
勸	khng3
莊	tsng
贜	tsng
贓	tsng
磚	tsng
塼	tsng
甎	tsng
葬	tsng3
𠿺	tsng3
鑽	tsng3
狀	tsng7
村	tshng
邨	tshng
倉	tshng
瘡	tshng
艙	tshng
刺	tshng3
牀	tshng5
霜	sng
孀	sng
桑	sng
痠	sng
酸	sng
喪	sng
䘮	sng
孫	sng
耍	sng2
算	sng3
蒜	sng3
筭	sng3
穿	tshng
轉	tng2
頓	tng3
長	tng5
斷	tng6
盪	tng6
廣	kng2
捲	kng2
指	tsng
盪嘴	tng6 cui3
卵仁	nng6 ring5

揠	at
抑	at
笪	tat
繨	tat8
值	tat8
搦	nat8
捺	nat8
力	lat8
叻	lat8
結	kat
剋	khat
克	khat
催	tshui
嘎	khat
戛	khat
噶	khat
喝	hat
曷	hat
洫	hat
瞎	hat
褐	hat
謁	hat
豁	hat
轄	hat
遏	hat
鞨	hat
鶡	hat
扎	tsat
紥	tsat
紮	tsat
札	tsat
箚	tsat
劄	tsat
剳	tsat
拶	tsat
櫛	tsat
癤	tsat
節	tsat
鍘	tsat
察	tshat
擦	tshat
搽	tshat
漆	tshat
剎	tshat
䃰	tshat
鑔	tshat
鰂	tshat8
賊	tshat8
塞	sat
撒	sat
鎩	sat
剎	sat
薩	sat
虱	sat
獲	uek8
穫	uek8
蠖	uek8
鑊	uek8
矱	uek8
石叻	sit8 lat8
